epoch,train_loss,val_loss,train_miou,val_miou
1,1.0201187570376589,0.6791314706915901,0.06431135773663593,0.0911088395279068
2,0.7575516964126777,0.5532143081937517,0.11914655968178904,0.15611905784711583
3,0.6924376167164518,0.5763539393742879,0.16300427672303933,0.26857553771235576
4,0.6529593078412693,0.5942749735854921,0.19486440691756268,0.21464426061361722
5,0.5964771314520677,0.5402226632549649,0.2245391031950225,0.29218058202998126
6,0.5974840957300249,0.5379107375939687,0.24462926275482058,0.30117721336029646
7,0.5420095206296752,0.5383283430621737,0.27000082329547526,0.29275265233416853
8,0.5118692417756218,0.4822039987359728,0.28598166061445707,0.3169040547031807
9,0.5122556062312144,0.48753699830600195,0.2979894381937384,0.3626523462651324
10,0.500726734580149,0.4971097560155959,0.30619093989216156,0.3195783371850853
11,0.48626667420582576,0.49396917621294656,0.3157402244345195,0.3712611235773162
12,0.4811796447557717,0.4727811205954779,0.33014124282157875,0.36379813477154527
13,0.46357703962229274,0.5073992649714152,0.34295301504287135,0.3687244360031502
14,0.4676458093293039,0.46486991076242357,0.3489571289858907,0.3178531295531187
15,0.46797141542733817,0.5004509951387133,0.3493023078717871,0.4026786514231322
16,0.45216395458502084,0.48007555376915706,0.3645951304978573,0.3435301280039788
17,0.43645072574435123,0.48992869343076434,0.3689154378920492,0.3887186916446679
18,0.45804565105710965,0.5230526086829957,0.38010273648450993,0.3751447637212491
19,0.4372549330836293,0.4714297084581284,0.38276401852434006,0.425343918467987
20,0.44739595319512143,0.5179582391466413,0.3927519652750788,0.39113078544351565
21,0.3642238718887097,0.5067459119940704,0.45511273113621536,0.4705923775802516
22,0.35811277734617464,0.5033149061337957,0.4682516362770683,0.4574155574273152
23,0.36660561526393537,0.5009683311547873,0.47746514847170063,0.4501907245552931
24,0.34868039713134624,0.48464895559931703,0.48391070536131814,0.4955300076964441
25,0.3134034179233537,0.5810816172721252,0.51384057559989,0.5005244932020582
26,0.32128112903380307,0.5667742757864718,0.5239993173834322,0.5130827520802249
27,0.31602277026625136,0.5994837655211395,0.5256796230806171,0.4899254276815231
28,0.30742992862124285,0.43350040097281617,0.5374139608757134,0.4970877687661768
29,0.3122320073447104,0.5282646063363777,0.5381276494686824,0.5331716376375679
30,0.3118346217483612,0.5553367762070782,0.5372395321752227,0.5164033026540614
31,0.30879182167818625,0.5016832045226727,0.5438460230054625,0.5153865941808783
32,0.31766915266364265,0.49452170364136966,0.5486341614061548,0.5102898732923709
33,0.3101931802131153,0.4893341770149627,0.557575772755336,0.557828311249516
34,0.3119887284577113,0.49847046974694953,0.5478721743436468,0.5559037763623161
35,0.31256011441844855,0.5312128395966764,0.5661560944887969,0.5054183288492722
36,0.31926221007350625,0.5261683292546362,0.5577710058145179,0.5494788254622089
37,0.3092110111374697,0.4855632391178383,0.5664472887251475,0.5484381213265564
38,0.30713608118660773,0.6459783703651069,0.56294456218718,0.5215444430736477
39,0.30072283348914003,0.5347678411119389,0.573231259027711,0.5319942215406616
40,0.29842354241772334,0.5592787833708637,0.6020963107298429,0.5624685391839742
41,0.310636712671206,0.5104452194470279,0.6050220828567383,0.5506572894842596
42,0.2922954440556769,0.5107498469780076,0.6141297742284646,0.5847349122912648
43,0.28585584225249905,0.5465238434526155,0.6208202723449805,0.5534807190506273
44,0.28535542903791056,0.555654523507604,0.627956093202164,0.5822542958320319
45,0.28388710836862724,0.48566783739710756,0.6309251940946077,0.5835905703363725
46,0.288073159176925,0.5386737694717804,0.6225663587838662,0.5888519187341641
47,0.2813354335807786,0.547522727048622,0.6462583225044046,0.6070977489221966
48,0.2892503465123722,0.5642809401143272,0.6247368834502284,0.5738529135120656
49,0.2825909475778742,0.5633761112420064,0.6408298124430364,0.5948202366424974
50,0.2884096879910719,0.610323559000807,0.6446838670273398,0.583021239992948
51,0.28351375526607697,0.49695210749248286,0.6380631288336199,0.5650657849692302
52,0.290904458983358,0.4750642261977466,0.6420919917759849,0.595083481369201
53,0.28411131899295256,0.49755790689081514,0.6449000988461301,0.5637084489558114
54,0.28109731467447596,0.5027240809966933,0.6552625327272713,0.6100797011368639
55,0.2747193996096889,0.5140495989120232,0.6631719565763945,0.618088893125734
56,0.2758357914171536,0.510000191207202,0.668856794973111,0.6050378512958773
57,0.2847126962623913,0.5331239093024775,0.654286020039633,0.6124186890107858
58,0.2785948191071788,0.5293644742583329,0.6713186129786691,0.6162204755343205
59,0.27715398794610563,0.5296899740988353,0.6734203965367012,0.6281126608951809
60,0.27677383249096327,0.5362694775158504,0.6797826251837088,0.6263552613990743
61,0.27902727994751664,0.5196292968291156,0.6725488157616493,0.6095499374102356
62,0.27365178232703263,0.5613333031816302,0.6691619235434323,0.6268499607369723
63,0.2719856182807486,0.5511261207877465,0.6803622067508815,0.6332703429694769
64,0.2763662393792529,0.5400120770593859,0.6754481668297366,0.6445653599317149
65,0.2728627181141139,0.5323082129910307,0.6837516494663545,0.6234056762252077
66,0.27662789189287657,0.5737575880199108,0.6858189129888975,0.6266319005791262
67,0.27057097428839144,0.5201026521763712,0.6858575000641649,0.6319708121449727
68,0.27146768264774906,0.456800159840089,0.6927681228039747,0.6558412997398534
69,0.14817517347001502,0.42338781311826884,0.6935382334441469,0.6340404386367485
70,0.14585846753247989,0.40287343328291514,0.6916443217983735,0.6382491631903036
71,0.09120308031152755,0.39668026362668796,0.6672362772686721,0.6092707744246828
72,0.09277957046191411,0.5439185647047916,0.6639647858642495,0.6068214698541893
73,0.08401305036708658,0.5246309450353092,0.6687463712683732,0.6118982778807388
74,0.07784952895502763,0.5180992806014025,0.6744523405561429,0.6074628136164074
75,0.08037899657259129,0.4998806294686389,0.6700867975769803,0.618550943704901
76,0.07073020210620222,0.5139962233040692,0.6792512065732961,0.6135966280684604
