epoch,train_loss,train_miou,val_loss,val_miou
1,0.7465507539875833,0.10099891452666784,0.4942517115956261,0.16750168587121647
2,0.4801012601469716,0.21206359704865455,0.4578976963247572,0.24150693044324859
3,0.4366094357853006,0.27706249376911457,0.46521951045308796,0.2542155182630782
4,0.41176377775704287,0.3343413564022956,0.43690193948291595,0.3200051885785222
5,0.3992477046717577,0.3584753658304934,0.41943168271155584,0.35353614349463314
6,0.38955233881174417,0.4028904601550793,0.4234271157355536,0.3728746385310932
7,0.3808301499189046,0.42556846409037735,0.3982807775338491,0.3613478805389517
8,0.37573750119147703,0.43723957512907624,0.40109224972270785,0.39099673413956537
9,0.3680098994851552,0.46133123263665493,0.38611470120293756,0.42002966339973924
10,0.36246344139215253,0.4769478663909961,0.3854664751461574,0.4209687462107476
11,0.36089774476866,0.4815892327253084,0.38147948185602826,0.42336115358390713
12,0.3575505788035938,0.5063621267460757,0.38161035974820456,0.4666235393992543
13,0.3567626937069136,0.4942081853149355,0.3816935263928913,0.4412079091341759
14,0.35477110518080723,0.4998676202328414,0.3840653816858927,0.43775799971129625
15,0.35587474005468656,0.5095178119057173,0.37583391723178683,0.45539415601174177
16,0.36202007449641,0.47810261753017874,0.38891459504763287,0.4301438805169017
17,0.35900016063033874,0.4745389254639333,0.37407263971510385,0.4683515006071601
18,0.3567811197900244,0.48673121542833053,0.3841253326052711,0.43319887811916197
19,0.34863153264971236,0.5143341138697352,0.3836311947731745,0.48118574407218756
20,0.34677015607867295,0.5336506523729285,0.36929140573456176,0.5152932972819656
21,0.3423411980326325,0.5471469464252194,0.36756964836801803,0.501070482559243
22,0.3419273856931067,0.5638581002701082,0.3667155339604332,0.5580569147262494
23,0.34011393417071595,0.5661432103737292,0.37331678668657936,0.5276368695024677
24,0.33468471621455304,0.5895173281688942,0.35547355725651697,0.5719703594694282
25,0.3330851500764544,0.5831548751791714,0.3579445909886133,0.5671701345191027
26,0.3320346802088167,0.6120328708238179,0.36191445163318087,0.5709435955060289
27,0.3284891145200747,0.6232282907239212,0.3564659382615771,0.58005360216563
28,0.32767945079895844,0.6338871779832501,0.3609620227700188,0.5897194913381645
29,0.32330453076925664,0.6360831651130313,0.35880001669838313,0.5842041926715265
30,0.32564225347499565,0.650421812636081,0.356117741550718,0.5888104068259273
31,0.32154513208188695,0.6552125504779004,0.3508290830112639,0.5637899060819931
32,0.31999897497716423,0.655094561561554,0.35387911001841227,0.5737575924255848
33,0.317249906733907,0.6734864167126894,0.35051425184522356,0.5843584899771727
34,0.31660376684362157,0.6829531028750241,0.3472589372169404,0.6021236924457403
35,0.3159278250433422,0.6712514775751972,0.3554691360110328,0.5909346658778623
36,0.3161767141350521,0.6727197557266972,0.350576261253584,0.6100089083120428
37,0.31552036796658683,0.6814349349374418,0.3498422287759327,0.6153347068865395
38,0.3139715490525939,0.6971134882938259,0.3513097875175022,0.6228911617614811
39,0.31455101114027617,0.6904936232073783,0.34798797156129563,0.6285817602775939
40,0.31423866539863643,0.6880865789272824,0.34870992388044086,0.6305570807299781
41,0.31281575249899796,0.6899408421312317,0.3474714201121103,0.6377032508423796
42,0.31307049697725536,0.6964079700553907,0.3500585452431724,0.6234361568582953
43,0.31272235169071994,0.6848056300473851,0.35071327842417216,0.629217599354794
44,0.3121175995007212,0.6900260604814807,0.34468943391527446,0.646796612642069
45,0.3119111016282736,0.6964681530320169,0.3503660511402857,0.6302646738629828
46,0.3189171387975506,0.6651288252458416,0.355607434397652,0.5622929482569554
47,0.3216502221637986,0.6170628178438017,0.3521350663332712,0.5476988598343946
48,0.3197283522119381,0.6208402752294908,0.3568649182717005,0.585440025213079
49,0.3192021595760905,0.6654774451084506,0.3468391104823067,0.6409223819773694
50,0.3187295879715043,0.673525116963695,0.358008036726997,0.627748589654406
51,0.3163304473531202,0.6691043392158251,0.3499958659921374,0.6264273827329011
52,0.3156421644221373,0.6743682262719121,0.35316191940080555,0.5900839370049857
53,0.3121796800751528,0.678993796297494,0.35268679630188715,0.6327056393021612
54,0.3131770484451878,0.6925228638484879,0.3571387732312793,0.6143615522154917
